started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-01-01 13:48:37.164000+00:00,2021-01-01 14:31:12.558000+00:00,2555,464,Sukkerbiten,ved gangbroen,59.90580676630004,10.753656509579287,507,Jens Bjelkes gate,langs Trondheimsveien,59.919179,10.764162
2021-01-01 13:49:09.424000+00:00,2021-01-01 14:41:41.960000+00:00,3152,625,Spikersuppa Øst,ved Stortinget,59.91336,10.737663,465,Bjørvika,under broen Nylandsveien,59.909006,10.75618
2021-01-01 13:49:19.251000+00:00,2021-01-01 13:53:55.978000+00:00,276,384,Vår Frelsers gravlund sør,langs Ullevålsveien,59.919463,10.743829,577,Arkaden Nord,langs Dronningens gate,59.9121472,10.7480527
2021-01-01 13:50:04.267000+00:00,2021-01-01 13:56:23.491000+00:00,379,476,Edvard Storms gate,ved Pilestredet,59.919111,10.736179,1755,Aker Brygge,ved trikkestopp,59.91118372188379,10.730034556850455
2021-01-01 13:50:06.318000+00:00,2021-01-01 13:56:24.037000+00:00,377,476,Edvard Storms gate,ved Pilestredet,59.919111,10.736179,1755,Aker Brygge,ved trikkestopp,59.91118372188379,10.730034556850455
2021-01-01 13:50:41.957000+00:00,2021-01-01 13:55:44.948000+00:00,302,535,Uranienborgveien,vest for Slottsparken,59.9200421,10.726634,427,Briskeby,ved Uranienborg skole,59.920218,10.717978
2021-01-01 13:51:11.467000+00:00,2021-01-01 13:54:02.554000+00:00,171,550,Thereses gate,ved Bislett trikkestopp,59.9261462,10.7310355,564,Oscars gate,ved Hegdehaugsveien,59.9224222,10.7272388
2021-01-01 13:53:23.786000+00:00,2021-01-01 14:39:14.868000+00:00,2751,410,Landstads gate,langs Uelands gate,59.929005,10.7496755,408,Tøyen skole,forsiden av skolebygget,59.914943,10.773977
2021-01-01 13:53:29.503000+00:00,2021-01-01 13:57:18.218000+00:00,228,561,Kirkeveien,ved Gørbitz' gate,59.93347989334691,10.726294394131088,413,Majorstuen,på Vinkelplassen,59.929045,10.716926
2021-01-01 13:54:52.863000+00:00,2021-01-01 14:04:52.998000+00:00,600,599,Paléhaven,langs Strandgata,59.910331,10.75011,447,Kværnerbyen,langs Smeltedigelen,59.904473,10.786167
2021-01-01 13:59:52.316000+00:00,2021-01-01 14:04:36.008000+00:00,283,439,Mølleparken,ved Sannerbrua,59.9283928,10.7559693,401,Lille Schous plass,lengst vekk fra rundkjøring,59.920259,10.760629
2021-01-01 14:01:14.591000+00:00,2021-01-01 15:53:37.025000+00:00,6742,614,Sinsen T-bane,langs Hans Nielsen Hauges gate,59.938863086921295,10.780603250331886,527,Biskop Gunnerus' gate,ved Oslo City,59.9123341,10.752292
